"Номенклатурный номер";"Наименование";"Производитель";"Количество";"Цена, руб.";"Условия поставки";"Сумма, руб."
"1585143289";"PC817A, Оптопара транзисторная [DIP-4]";"Sharp";3;17,00;"Со склада";51,00
"27017";"КР1157ЕН24А (98-02г), Стабилизатор с фиксированным выходным напряжением 24В";"Россия";3;7,00;"Со склада";21,00
"918934430";"UC3845BN, Шим-контроллер импульсных БП [PDIP8]";"ST Microelectronics";3;30,00;"Со склада";90,00
"9000056955";"IRFR2307ZPBF, Nкан 75В 53А D-Pak";"IR";3;53,00;"Со склада";159,00
"9000015098";"TL431AILP, Прецизионный регулятор напряжения, программируемый стабилитрон";"Texas Instruments";3;13,00;"Со склада";39,00
"531520423";"BAS16, Диод импульсный PBF 6нс 75В 250мА [SOT-23]";"NXP";3;3,00;"Со склада";9,00
"36024";"F1 (RS1A), Диод быстродействующий 1A 50В [SMA / DO-214AC]";"Китай";3;5,00;"Со склада";15,00
"9000014111";"VS-12CWQ03FNTRPBF, Диод Шоттки 12А 30В [D-PAK]";"Vishay";3;64,00;"3 дня";192,00
"984099856";"0.25Вт 1206 2 кОм, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"694051942";"0.25Вт 1206 150 кОм, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"884609515";"0.25Вт 1206 20 кОм, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"9000189977";"1Вт 2512 100 Ом, 5%, Чип резистор (SMD)";"Тайвань";3;3,00;"Со склада";9,00
"9000190198";"1Вт 2512 30 кОм, 5%, Чип резистор (SMD)";"Тайвань";3;3,00;"Со склада";9,00
"820551164";"0.25Вт 1206 1 кОм, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"9000189981";"1Вт 2512 1 Ом, 5%, Чип резистор (SMD)";"Тайвань";3;6,00;"Со склада";18,00
"515060884";"0.25Вт 1206 750 Ом, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"302285836";"0.25Вт 1206 47 кОм, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"895596179";"0.25Вт 1206 910 Ом, 5%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"9000079663";"0.25Вт 1206 15 кОм, 1%, Чип резистор (SMD)";"Тайвань";20;0,90;"Со склада";18,00
"9000080434";"ECAP SMD, 22 мкФ, 50В, 105°C, 6.3X7.7, B41121A6226M000,  Конденсатор электролитический алюминиевый SMD";"Epcos";3;6,00;"Со склада";18,00
"561460553";"Кер.ЧИП конд. 100пФ NPO 50В, 5%, 1206";"Тайвань";10;2,00;"Со склада";20,00
"524818863";"Кер.ЧИП конд. 820пФ NPO 50В, 5%, 0805";"Тайвань";10;3,00;"Со склада";30,00
"17180";"Кер.ЧИП конд. 0.01 мкФ X7R 50В,10%, 1206";"Тайвань";10;2,00;"Со склада";20,00
"1036";"Кер.ЧИП конд. 470пФ X7R 50В,10%, 0805";"Тайвань";10;0,90;"Со склада";9,00
"9000080447";"ECAP SMD, 470 мкФ, 10В, 105°C, 8x10, B41121A3477M000,  Конденсатор электролитический алюминиевый SMD";"Epcos";7;9,00;"Со склада";63,00
"9000110352";"DG300-5.0-02P-12,  Клеммник винтовой, 2-контактный, 5мм, прямой";"Degson";4;17,00;"Со склада";68,00
"";;;;;"Сумма товаров в заказе, руб.:";984,00
"";;;;;"Кол-во товаров в заказе:";26
